Duration: 300
step,size,rho,fit
0,2,0.25,19.6
1,6,0.578,18.8
2,6,0.578,18.8
3,7,0.648,18.5
4,8,0.766,17.9
5,10,0.854,17.2
6,13,0.922,16.4
7,14,0.944,16.2
8,14,0.944,16.2
9,13,0.952,15.8
10,13,0.952,15.8
11,15,0.976,15.8
12,15,0.976,15.8
13,15,0.976,15.8
14,15,0.979,15.7
15,15,0.979,15.7
16,15,0.979,15.7
17,15,0.979,15.7
18,15,0.979,15.7
19,15,0.979,15.7
20,15,0.979,15.7
21,15,0.979,15.7
22,15,0.979,15.7
23,15,0.979,15.7
24,15,0.979,15.7
25,15,0.979,15.7
26,15,0.979,15.7
27,15,0.979,15.7
28,15,0.979,15.7
29,15,0.979,15.7
30,15,0.979,15.7
31,15,0.979,15.7
32,15,0.979,15.7
33,15,0.979,15.7
34,15,0.979,15.7
35,15,0.979,15.7
36,15,0.979,15.7
37,15,0.979,15.7
38,15,0.979,15.7
39,14,0.964,15.7
40,14,0.964,15.7
41,14,0.964,15.7
42,14,0.964,15.7
43,14,0.964,15.7
44,14,0.964,15.7
45,14,0.964,15.7
46,14,0.964,15.7
47,14,0.97,15.5
48,14,0.97,15.5
49,14,0.97,15.5
50,14,0.97,15.5
51,14,0.97,15.5
52,14,0.97,15.5
53,14,0.97,15.5
54,14,0.977,15.3
55,14,0.977,15.3
56,14,0.977,15.3
57,14,0.977,15.3
58,14,0.977,15.3
59,14,0.977,15.3
60,14,0.977,15.3
61,14,0.977,15.3
62,14,0.977,15.3
63,14,0.977,15.3
64,14,0.977,15.3
65,14,0.977,15.3
66,14,0.977,15.3
67,14,0.977,15.3
68,14,0.977,15.3
69,14,0.977,15.3
70,14,0.977,15.3
71,14,0.977,15.3
72,14,0.977,15.3
73,14,0.977,15.3
74,14,0.977,15.3
75,14,0.977,15.3
76,14,0.977,15.3
77,14,0.977,15.3
78,14,0.977,15.3
79,14,0.977,15.3
80,14,0.977,15.3
81,14,0.977,15.3
82,14,0.977,15.3
83,14,0.977,15.3
84,14,0.977,15.3
85,14,0.977,15.3
86,14,0.977,15.3
87,14,0.977,15.3
88,14,0.977,15.3
89,14,0.977,15.3
90,14,0.977,15.3
91,14,0.983,15
92,14,0.983,15
93,14,0.983,15
94,14,0.983,15
95,14,0.983,15
96,14,0.983,15
97,14,0.983,15
98,14,0.983,15
99,14,0.983,15
100,14,0.983,15
101,14,0.983,15
102,14,0.983,15
103,14,0.983,15
104,14,0.983,15
105,14,0.983,15
106,14,0.983,15
107,14,0.983,15
108,14,0.983,15
109,14,0.983,15
110,14,0.983,15
111,14,0.983,15
112,14,0.983,15
113,14,0.983,15
114,14,0.983,15
115,14,0.983,15
116,14,0.983,15
117,14,0.983,15
118,14,0.983,15
119,14,0.983,15
120,14,0.983,15
121,14,0.983,15
122,14,0.983,15
123,14,0.983,15
124,14,0.983,15
125,14,0.983,15
126,14,0.983,15
127,14,0.983,15
128,14,0.983,15
129,14,0.983,15
130,14,0.983,15
131,14,0.983,15
132,14,0.983,15
133,14,0.988,14.8
134,14,0.988,14.8
135,14,0.988,14.8
136,14,0.988,14.8
137,14,0.988,14.8
138,14,0.988,14.8
139,14,0.988,14.8
140,14,0.988,14.8
