Duration: 300
step,size,rho,fit
0,1,0,20
1,1,0,20
2,1,0,20
3,4,0.25,19.6
4,4,0.25,19.6
5,4,0.25,19.6
6,8,0.344,19.4
7,8,0.344,19.4
8,12,0.578,18.8
9,12,0.578,18.8
10,12,0.578,18.8
11,12,0.578,18.8
12,12,0.754,18
13,12,0.754,18
14,13,0.834,17.5
15,13,0.834,17.5
16,14,0.862,17.3
17,14,0.862,17.3
18,14,0.862,17.3
19,16,0.93,17
20,16,0.93,17
21,15,0.912,16.9
22,15,0.912,16.9
23,15,0.912,16.9
24,15,0.912,16.9
25,15,0.912,16.9
26,15,0.912,16.9
27,15,0.912,16.9
28,15,0.912,16.9
29,15,0.912,16.9
30,15,0.912,16.9
31,15,0.912,16.9
32,15,0.912,16.9
33,15,0.912,16.9
34,15,0.912,16.9
35,15,0.912,16.9
36,15,0.912,16.9
37,15,0.912,16.9
38,15,0.912,16.9
39,15,0.912,16.9
40,15,0.912,16.9
41,15,0.912,16.9
42,15,0.912,16.9
43,15,0.912,16.9
44,15,0.912,16.9
45,15,0.912,16.9
46,15,0.912,16.9
47,15,0.912,16.9
48,15,0.912,16.9
49,15,0.912,16.9
50,15,0.912,16.9
51,15,0.912,16.9
52,14,0.9,16.9
53,14,0.9,16.9
54,15,0.918,16.8
55,15,0.918,16.8
56,15,0.918,16.8
57,15,0.918,16.8
58,15,0.918,16.8
59,15,0.918,16.8
60,15,0.918,16.8
61,15,0.918,16.8
62,15,0.918,16.8
63,15,0.918,16.8
64,15,0.918,16.8
65,15,0.918,16.8
66,15,0.918,16.8
67,15,0.918,16.8
68,15,0.918,16.8
69,15,0.918,16.8
70,15,0.918,16.8
71,15,0.918,16.8
72,15,0.918,16.8
73,15,0.918,16.8
74,15,0.918,16.8
75,15,0.918,16.8
76,15,0.918,16.8
77,15,0.918,16.8
78,15,0.918,16.8
79,15,0.918,16.8
80,15,0.918,16.8
81,15,0.918,16.8
82,15,0.918,16.8
83,15,0.918,16.8
84,15,0.918,16.8
85,15,0.918,16.8
86,15,0.918,16.8
87,15,0.918,16.8
88,15,0.918,16.8
89,15,0.918,16.8
90,15,0.918,16.8
91,15,0.918,16.8
92,15,0.918,16.8
93,15,0.918,16.8
94,15,0.918,16.8
