Duration: 300
step,size,rho,fit
0,1,0,20
1,1,0,20
2,1,0,20
3,1,0,20
4,6,0.25,19.6
5,8,0.438,19.2
6,13,0.578,18.8
7,13,0.578,18.8
8,13,0.578,18.8
9,13,0.578,18.8
10,13,0.578,18.8
11,13,0.578,18.8
12,14,0.719,18.2
13,14,0.719,18.2
14,14,0.719,18.2
15,16,0.789,18.1
16,16,0.789,18.1
17,16,0.789,18.1
18,16,0.789,18.1
19,16,0.789,18.1
20,16,0.789,18.1
21,16,0.789,18.1
22,16,0.789,18.1
23,15,0.812,17.8
24,15,0.812,17.8
25,15,0.812,17.8
26,15,0.812,17.8
27,15,0.812,17.8
28,15,0.812,17.8
29,15,0.812,17.8
30,16,0.859,17.6
31,16,0.859,17.6
32,15,0.883,17.2
33,15,0.883,17.2
34,15,0.883,17.2
35,15,0.883,17.2
36,15,0.883,17.2
37,15,0.883,17.2
38,15,0.883,17.2
39,15,0.883,17.2
40,15,0.883,17.2
41,15,0.883,17.2
42,15,0.883,17.2
43,15,0.883,17.2
44,15,0.883,17.2
45,15,0.883,17.2
46,15,0.883,17.2
47,15,0.883,17.2
48,15,0.883,17.2
49,15,0.883,17.2
50,15,0.883,17.2
51,15,0.883,17.2
52,15,0.883,17.2
53,15,0.883,17.2
54,15,0.883,17.2
55,15,0.883,17.2
56,15,0.883,17.2
57,15,0.883,17.2
58,14,0.883,17.1
59,15,0.912,16.9
60,15,0.912,16.9
61,15,0.912,16.9
62,15,0.912,16.9
63,15,0.912,16.9
64,15,0.912,16.9
65,15,0.912,16.9
66,15,0.912,16.9
67,15,0.912,16.9
68,15,0.912,16.9
69,15,0.912,16.9
70,15,0.912,16.9
71,15,0.912,16.9
72,15,0.912,16.9
73,15,0.912,16.9
74,15,0.912,16.9
75,15,0.912,16.9
76,15,0.912,16.9
77,15,0.912,16.9
78,15,0.912,16.9
79,15,0.912,16.9
80,16,0.945,16.9
81,16,0.945,16.9
82,16,0.945,16.9
83,16,0.945,16.9
84,16,0.945,16.9
85,16,0.945,16.9
86,16,0.945,16.9
87,16,0.945,16.9
88,16,0.945,16.9
89,16,0.945,16.9
90,16,0.945,16.9
91,16,0.945,16.9
92,16,0.945,16.9
93,16,0.945,16.9
