Duration: 300
step,size,rho,fit
0,2,0.25,19.6
1,5,0.5,19
2,5,0.812,17.6
3,5,0.812,17.6
4,5,0.812,17.6
5,11,0.895,16.8
6,11,0.895,16.8
7,11,0.906,16.6
8,12,0.938,16.1
9,12,0.938,16.1
10,13,0.96,15.6
11,14,0.985,15
12,14,0.985,15
13,14,0.985,15
14,14,0.985,15
15,14,0.985,15
16,14,0.985,15
17,14,0.985,15
18,14,0.985,15
19,13,0.979,14.8
20,13,0.979,14.8
21,13,0.979,14.8
22,13,0.979,14.8
23,13,0.979,14.8
24,13,0.979,14.8
25,13,0.979,14.8
26,13,0.979,14.8
27,13,0.979,14.8
28,13,0.979,14.8
29,13,0.979,14.8
30,14,0.988,14.8
31,14,0.988,14.8
32,14,0.988,14.8
33,14,0.988,14.8
34,13,0.984,14.6
35,13,0.984,14.6
36,13,0.984,14.6
37,13,0.984,14.6
38,13,0.984,14.6
39,13,0.984,14.6
40,13,0.984,14.6
41,13,0.984,14.6
42,13,0.984,14.6
43,13,0.984,14.6
44,13,0.984,14.6
45,13,0.984,14.6
46,13,0.984,14.6
47,13,0.984,14.6
48,13,0.984,14.6
49,13,0.984,14.6
50,13,0.984,14.6
51,13,0.984,14.6
52,13,0.984,14.6
53,13,0.984,14.6
54,13,0.984,14.6
55,13,0.984,14.6
56,13,0.984,14.6
57,13,0.984,14.6
58,13,0.984,14.6
59,13,0.984,14.6
60,13,0.984,14.6
61,13,0.984,14.6
62,13,0.984,14.6
63,13,0.984,14.6
64,13,0.984,14.6
65,13,0.986,14.5
66,13,0.986,14.5
67,12,0.984,14.3
68,12,0.984,14.3
69,12,0.984,14.3
70,12,0.984,14.3
71,12,0.984,14.3
72,12,0.984,14.3
73,12,0.984,14.3
74,12,0.984,14.3
75,12,0.984,14.3
76,13,0.992,14
77,13,0.992,14
78,13,0.992,14
79,13,0.992,14
80,13,0.992,14
81,13,0.992,14
82,13,0.992,14
83,13,0.992,14
84,13,0.992,14
85,13,0.992,14
86,13,0.992,14
87,13,0.992,14
88,13,0.992,14
89,13,0.992,14
90,13,0.992,14
91,13,0.992,14
92,13,0.992,14
93,13,0.992,14
94,13,0.992,14
95,13,0.992,14
96,13,0.992,14
97,13,0.992,14
98,13,0.992,14
99,13,0.992,14
100,13,0.992,14
101,13,0.992,14
102,13,0.992,14
103,13,0.992,14
104,13,0.992,14
105,13,0.992,14
106,13,0.992,14
107,13,0.992,14
108,13,0.992,14
109,13,0.992,14
110,13,0.992,14
111,13,0.992,14
112,12,0.992,13.6
113,12,0.992,13.6
114,12,0.992,13.6
115,12,0.992,13.6
116,12,0.992,13.6
117,12,0.992,13.6
118,12,0.992,13.6
119,12,0.992,13.6
120,12,0.992,13.6
121,12,0.992,13.6
122,12,0.992,13.6
123,12,0.992,13.6
124,12,0.992,13.6
125,12,0.992,13.6
126,12,0.992,13.6
127,12,0.992,13.6
128,12,0.992,13.6
129,12,0.992,13.6
130,12,0.992,13.6
131,12,0.992,13.6
132,12,0.992,13.6
133,12,0.992,13.6
134,12,0.992,13.6
135,12,0.992,13.6
136,12,0.992,13.6
137,12,0.992,13.6
138,12,0.992,13.6
139,12,0.992,13.6
140,12,0.992,13.6
141,12,0.992,13.6
142,12,0.992,13.6
143,12,0.992,13.6
144,12,0.992,13.6
145,12,0.992,13.6
146,12,0.992,13.6
147,12,0.992,13.6
148,12,0.992,13.6
149,12,0.992,13.6
150,12,0.992,13.6
151,12,0.992,13.6
152,12,0.992,13.6
153,12,0.992,13.6
154,12,0.992,13.6
155,12,0.992,13.6
156,12,0.992,13.6
157,12,0.992,13.6
158,12,0.992,13.6
159,12,0.992,13.6
160,12,0.992,13.6
161,13,0.998,13.4
162,13,0.998,13.4
163,13,0.998,13.4
164,13,0.998,13.4
165,13,0.998,13.4
166,13,0.998,13.4
167,13,0.998,13.4
168,13,0.998,13.4
169,13,0.998,13.4
170,13,0.998,13.4
171,13,0.998,13.4
172,13,0.998,13.4
173,13,0.998,13.4
174,13,0.998,13.4
175,13,0.998,13.4
176,13,0.998,13.4
177,13,0.998,13.4
178,13,0.998,13.4
179,13,0.998,13.4
180,13,0.998,13.4
181,13,0.998,13.4
182,13,0.998,13.4
183,12,0.996,13
184,12,0.996,13
185,12,0.996,13
186,12,0.996,13
187,12,0.996,13
188,12,0.996,13
189,12,0.996,13
190,12,0.996,13
191,12,0.996,13
192,12,0.996,13
193,12,0.996,13
194,12,0.996,13
195,12,0.996,13
196,12,0.996,13
197,12,0.996,13
198,12,0.996,13
199,12,0.996,13
200,12,0.996,13
201,12,0.996,13
202,12,0.996,13
203,12,0.996,13
204,12,0.996,13
205,12,0.996,13
206,12,0.996,13
207,12,0.996,13
208,12,0.996,13
209,12,0.996,13
210,12,0.996,13
211,12,0.996,13
212,12,0.996,13
213,12,0.996,13
214,12,0.996,13
215,12,0.996,13
216,12,0.996,13
217,12,0.996,13
218,12,0.996,13
219,12,0.996,13
220,12,0.996,13
221,12,0.996,13
222,12,0.996,13
223,12,0.996,13
224,12,0.996,13
225,12,0.996,13
226,12,0.996,13
227,12,0.996,13
228,12,0.996,13
229,12,0.996,13
230,12,0.996,13
231,12,0.996,13
232,12,0.996,13
233,12,0.996,13
234,12,0.996,13
235,12,0.996,13
236,12,0.996,13
237,12,0.996,13
238,12,0.996,13
239,12,0.996,13
240,12,0.996,13
241,12,0.996,13
242,12,0.996,13
243,12,0.996,13
244,12,0.996,13
245,12,0.996,13
246,12,0.996,13
247,12,0.996,13
248,12,0.996,13
249,12,0.996,13
250,12,0.996,13
251,12,0.996,13
252,12,0.996,13
253,12,0.996,13
254,12,0.996,13
255,12,0.996,13
256,12,0.996,13
257,12,0.996,13
258,12,0.996,13
259,12,0.996,13
260,12,0.996,13
261,12,0.996,13
262,12,0.996,13
263,12,0.996,13
264,12,0.996,13
265,12,0.996,13
266,12,0.996,13
267,12,0.996,13
268,12,0.996,13
269,12,0.996,13
270,12,0.996,13
271,12,0.996,13
272,12,0.996,13
273,12,0.996,13
274,12,0.996,13
275,12,0.996,13
276,12,0.996,13
277,12,0.996,13
278,12,0.996,13
279,12,0.996,13
280,12,0.996,13
281,12,0.996,13
282,12,0.996,13
283,12,0.996,13
284,12,0.996,13
285,12,0.996,13
286,12,0.996,13
287,12,0.996,13
288,12,0.996,13
289,12,0.996,13
290,12,0.996,13
291,12,0.996,13
292,12,0.996,13
293,12,0.996,13
