2022-04-18T14:01:46+03:00
Running /home/dzhiblavi/itmo-parsat/build/core/tests/bench/benchmark
Run on (20 X 4884.21 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x10)
  L1 Instruction 32 KiB (x10)
  L2 Unified 256 KiB (x10)
  L3 Unified 20480 KiB (x1)
Load Average: 5.69, 5.95, 4.82
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_algorithm/ea/0",1,3395.14,51.8695,ms,,,,,
"BM_algorithm/ea/1",10,1178.98,33.5436,ms,,,,,
"BM_algorithm/ea/2",1,175735,143.69,ms,,,,,
"BM_algorithm/ea/3",22,171.605,52.0643,ms,,,,,
"BM_algorithm/ea/4",10,592.61,108.203,ms,,,,,
"BM_algorithm/ea/5",18,82.4643,41.1549,ms,,,,,
"BM_algorithm/ea/6",10,653.945,137.965,ms,,,,,
"BM_algorithm/ea/7",1,180009,115361,ms,,,,,
"BM_algorithm/ea/8",1,180009,83394.8,ms,,,,,
"BM_algorithm/ea/9",10,36124.6,31037.2,ms,,,,,
"BM_algorithm/ea/10",1,46857.8,613.422,ms,,,,,
"BM_algorithm/ea/11",1,52800,1755.7,ms,,,,,
"BM_algorithm/ea/12",1,3919.38,169.457,ms,,,,,
"BM_algorithm/ea/13",1,180210,17094.3,ms,,,,,
"BM_algorithm/ea/14",1,180542,22091.1,ms,,,,,
"BM_algorithm/ea/15",1,180001,97800.8,ms,,,,,
"BM_algorithm/ea/16",1,180001,36439.2,ms,,,,,
"BM_algorithm/ea/17",1,180007,34833.5,ms,,,,,
"BM_algorithm/ea/18",1,180002,34059.1,ms,,,,,
"BM_algorithm/ea/19",36,5193.92,275.086,ms,,,,,
"BM_algorithm/ea/20",11,489.605,178.88,ms,,,,,
"BM_algorithm/ea/21",10,515.744,19.6946,ms,,,,,
"BM_algorithm/ea/22",10,4256.83,3249.43,ms,,,,,
"BM_algorithm/ea/23",1,2951.83,56.5912,ms,,,,,
"BM_algorithm/ea/24",1,180006,11400,ms,,,,,
"BM_algorithm/ea/25",1,3242.45,241.021,ms,,,,,
"BM_algorithm/ea/26",29,64.3921,20.9703,ms,,,,,
"BM_algorithm/ea/27",6,31380.3,7739.73,ms,,,,,
"BM_algorithm/ea/28",1,2529.99,109.714,ms,,,,,
"BM_algorithm/ea/29",1,8842.71,613.113,ms,,,,,
"BM_algorithm/ea/30",1,7817.53,33.0101,ms,,,,,
"BM_algorithm/ea/31",1,7714.8,36.7851,ms,,,,,
"BM_algorithm/ea/32",1,7526.86,41.0089,ms,,,,,
"BM_algorithm/ea/33",100,97.8922,7.79225,ms,,,,,
"BM_algorithm/ea/34",74,123.992,8.04427,ms,,,,,
"BM_algorithm/ea/35",15,190.882,43.6403,ms,,,,,
"BM_algorithm/ea/36",100,141.848,3.33956,ms,,,,,
"BM_algorithm/ea/37",31,193.059,36.095,ms,,,,,
"BM_algorithm/ea/38",488,519.521,25.7929,ms,,,,,
"BM_algorithm/ea/39",100,46.5549,1.87237,ms,,,,,
"BM_algorithm/ea/40",100,67.2461,2.01565,ms,,,,,
"BM_algorithm/ea/41",10,624.479,144.791,ms,,,,,
"BM_algorithm/ea/42",101,22.5623,5.69117,ms,,,,,
"BM_algorithm/ea/43",16,11617.5,1243.39,ms,,,,,
"BM_algorithm/ea/44",10,322.957,37.5561,ms,,,,,
"BM_algorithm/ea/45",28,199.523,24.0693,ms,,,,,
"BM_algorithm/ea/46",10,313.116,27.3538,ms,,,,,
"BM_algorithm/ea/47",1,9562.06,24.1191,ms,,,,,
"BM_algorithm/ea/48",10,1150.69,24.9692,ms,,,,,
"BM_algorithm/ea/49",9,3693.61,159.506,ms,,,,,
"BM_algorithm/ea/50",3605,0.195897,0.191527,ms,,,,,
"BM_algorithm/ea/51",1,180066,7835.78,ms,,,,,
"BM_algorithm/ea/52",1,180488,4737.79,ms,,,,,
"BM_algorithm/ea/53",1,180457,3823.36,ms,,,,,
"BM_algorithm/ea/54",1,180001,36831.7,ms,,,,,
"BM_algorithm/ea/55",10,515.698,29.2899,ms,,,,,
"BM_algorithm/ea/56",1,17295.5,45.8568,ms,,,,,
"BM_algorithm/ea/57",1,180053,9108.45,ms,,,,,
"BM_algorithm/ea/58",1,60632.5,142.508,ms,,,,,
"BM_algorithm/ea/59",136,1515.29,79.0728,ms,,,,,
"BM_algorithm/ea/60",93,178.435,7.8207,ms,,,,,
"BM_algorithm/ea/61",1,39466.6,34.2152,ms,,,,,
"BM_algorithm/ea/62",1,20413.1,36.0141,ms,,,,,
"BM_algorithm/ea/63",1,50862.3,67.8107,ms,,,,,
"BM_algorithm/ea/64",1,144316,124.028,ms,,,,,
"BM_algorithm/ea/65",10,865.218,22.8824,ms,,,,,
"BM_algorithm/ea/66",10,3323.93,67.2902,ms,,,,,
"BM_algorithm/ea/67",10,783.635,12.7622,ms,,,,,
"BM_algorithm/ea/68",10,1030.43,32.3935,ms,,,,,
"BM_algorithm/ea/69",10,292.97,13.4352,ms,,,,,
"BM_algorithm/ea/70",69,521.953,29.7967,ms,,,,,
"BM_algorithm/ea/71",100,53.7071,4.99022,ms,,,,,
"BM_algorithm/ea/72",129,1484.99,75.3669,ms,,,,,
"BM_algorithm/ea/73",1,180001,128740,ms,,,,,
"BM_algorithm/ea/74",100,728.48,36.5234,ms,,,,,
"BM_algorithm/ea/75",100,25.7908,3.39857,ms,,,,,
"BM_algorithm/ea/76",3733,0.187512,0.184384,ms,,,,,
"BM_algorithm/ea/77",1,180001,109342,ms,,,,,
"BM_algorithm/ea/78",9,1961.64,273.728,ms,,,,,
"BM_algorithm/ea/79",1,2660.59,351.912,ms,,,,,
"BM_algorithm/ea/80",52,206.452,21.0902,ms,,,,,
"BM_algorithm/ea/81",10,426.737,47.9604,ms,,,,,
"BM_algorithm/ea/82",13,55634.8,38760.5,ms,,,,,
"BM_algorithm/ea/83",1,180000,123725,ms,,,,,
"BM_algorithm/ea/84",1,180000,162439,ms,,,,,
"BM_algorithm/ea/85",1,180001,160209,ms,,,,,
"BM_algorithm/ea/86",1,180026,5439.72,ms,,,,,
"BM_algorithm/ea/87",1,180023,5436.21,ms,,,,,
"BM_algorithm/ea/88",1,4228.72,20.0178,ms,,,,,
"BM_algorithm/ea/89",100,127.064,3.04448,ms,,,,,
"BM_algorithm/ea/90",12,295.89,59.1152,ms,,,,,
"BM_algorithm/ea/91",12,444.66,49.2391,ms,,,,,
"BM_algorithm/ea/92",10,963.771,47.486,ms,,,,,
"BM_algorithm/ea/93",30,181.832,26.8855,ms,,,,,
"BM_algorithm/ea/94",10,438.48,46.0321,ms,,,,,
"BM_algorithm/ea/95",12,535.279,55.365,ms,,,,,
"BM_algorithm/ea/96",5,1008.6,127.416,ms,,,,,
"BM_algorithm/ea/97",3,1726.11,273.035,ms,,,,,
"BM_algorithm/ea/98",3,2070.75,265.995,ms,,,,,
"BM_algorithm/ea/99",1,188334,156.678,ms,,,,,
"BM_algorithm/ga/0",1,29349.3,575.313,ms,,,,,
"BM_algorithm/ga/1",8,1824.53,89.6544,ms,,,,,
"BM_algorithm/ga/2",1,179177,526.41,ms,,,,,
"BM_algorithm/ga/3",9,400.826,114.222,ms,,,,,
"BM_algorithm/ga/4",9,483.594,119.494,ms,,,,,
"BM_algorithm/ga/5",8,569.088,142.035,ms,,,,,
"BM_algorithm/ga/6",10,316.352,81.9064,ms,,,,,
"BM_algorithm/ga/7",1,180008,72216.8,ms,,,,,
"BM_algorithm/ga/8",3,60964.7,13661.9,ms,,,,,
"BM_algorithm/ga/9",10,1014.66,356.248,ms,,,,,
"BM_algorithm/ga/10",1,38565.3,842.345,ms,,,,,
"BM_algorithm/ga/11",1,181676,2002.26,ms,,,,,
"BM_algorithm/ga/12",1,8055.41,357.783,ms,,,,,
"BM_algorithm/ga/13",1,180292,7553.25,ms,,,,,
"BM_algorithm/ga/14",1,180438,13053.1,ms,,,,,
"BM_algorithm/ga/15",5,110160,36227.5,ms,,,,,
"BM_algorithm/ga/16",1,180002,21527.9,ms,,,,,
"BM_algorithm/ga/17",1,180008,11836.4,ms,,,,,
"BM_algorithm/ga/18",1,180003,27109.5,ms,,,,,
"BM_algorithm/ga/19",4,655.743,53.7194,ms,,,,,
"BM_algorithm/ga/20",2,24572.8,9570.39,ms,,,,,
"BM_algorithm/ga/21",10,470.551,37.5731,ms,,,,,
"BM_algorithm/ga/22",4,5867.14,2135.64,ms,,,,,
"BM_algorithm/ga/23",1,85925.7,393.951,ms,,,,,
"BM_algorithm/ga/24",1,12065.1,579.551,ms,,,,,
"BM_algorithm/ga/25",1,2856.45,154.381,ms,,,,,
"BM_algorithm/ga/26",10,348.582,46.8455,ms,,,,,
"BM_algorithm/ga/27",1,180007,23723.8,ms,,,,,
"BM_algorithm/ga/28",1,31493.1,1287.82,ms,,,,,
