instance1 real_time
instance2 3395.14
instance3 1178.98
instance4 175735
instance5 171.605
instance6 592.61
instance7 82.4643
instance8 653.945
instance9 180009
instance10 180009
instance11 36124.6
instance12 46857.8
instance13 52800
instance14 3919.38
instance15 180210
instance16 180542
instance17 180001
instance18 180001
instance19 180007
instance20 180002
instance21 5193.92
instance22 489.605
instance23 515.744
instance24 4256.83
instance25 2951.83
instance26 180006
instance27 3242.45
instance28 64.3921
instance29 31380.3
instance30 2529.99
instance31 8842.71
instance32 7817.53
instance33 7714.8
instance34 7526.86
instance35 97.8922
instance36 123.992
instance37 190.882
instance38 141.848
instance39 193.059
instance40 519.521
instance41 46.5549
instance42 67.2461
instance43 624.479
instance44 22.5623
instance45 11617.5
instance46 322.957
instance47 199.523
instance48 313.116
instance49 9562.06
instance50 1150.69
instance51 3693.61
instance52 0.195897
instance53 180066
instance54 180488
instance55 180457
instance56 180001
instance57 515.698
instance58 17295.5
instance59 180053
instance60 60632.5
instance61 1515.29
instance62 178.435
instance63 39466.6
instance64 20413.1
instance65 50862.3
instance66 144316
instance67 865.218
instance68 3323.93
instance69 783.635
instance70 1030.43
instance71 292.97
instance72 521.953
instance73 53.7071
instance74 1484.99
instance75 180001
instance76 728.48
instance77 25.7908
instance78 0.187512
instance79 180001
instance80 1961.64
instance81 2660.59
instance82 206.452
instance83 426.737
instance84 55634.8
instance85 180000
instance86 180000
instance87 180001
instance88 180026
instance89 180023
instance90 4228.72
instance91 127.064
instance92 295.89
instance93 444.66
instance94 963.771
instance95 181.832
instance96 438.48
instance97 535.279
instance98 1008.6
instance99 1726.11
instance100 2070.75
instance101 188334
