2022-04-20T08:39:56+03:00
Running /home/dzhiblavi/itmo-parsat/build/core/tests/bench/benchmark
Run on (20 X 4996.19 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x10)
  L1 Instruction 32 KiB (x10)
  L2 Unified 256 KiB (x10)
  L3 Unified 20480 KiB (x1)
Load Average: 4.48, 3.75, 2.77
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_prop_naive/0/1/0/4096",2227,0.321331,0.321329,ms,,,,,
"BM_prop_naive/1/1/0/4096",2227,0.319555,0.319557,ms,,,,,
"BM_prop_naive/2/1/0/4096",2168,0.3153,0.315302,ms,,,,,
"BM_prop_naive/3/1/0/4096",2226,0.315977,0.315982,ms,,,,,
"BM_prop_naive/4/1/0/4096",2138,0.316459,0.316464,ms,,,,,
"BM_prop_naive/5/1/0/4096",2215,0.31598,0.31598,ms,,,,,
"BM_prop_naive/6/1/0/4096",2206,0.31773,0.317727,ms,,,,,
"BM_prop_naive/7/1/0/4096",2218,0.320167,0.320169,ms,,,,,
"BM_prop_naive/8/1/0/4096",2217,0.314614,0.314608,ms,,,,,
"BM_prop_naive/0/2/0/4096",10000,0.373769,0.0283045,ms,,,,,
"BM_prop_naive/1/2/0/4096",10000,0.387587,0.0290929,ms,,,,,
"BM_prop_naive/2/2/0/4096",10000,0.365571,0.0280561,ms,,,,,
"BM_prop_naive/3/2/0/4096",10000,0.369413,0.0289778,ms,,,,,
"BM_prop_naive/4/2/0/4096",10000,0.384456,0.0300019,ms,,,,,
"BM_prop_naive/5/2/0/4096",10000,0.37247,0.0280994,ms,,,,,
"BM_prop_naive/6/2/0/4096",10000,0.369704,0.0284225,ms,,,,,
"BM_prop_naive/7/2/0/4096",10000,0.368885,0.0284272,ms,,,,,
"BM_prop_naive/8/2/0/4096",10000,0.36956,0.0292406,ms,,,,,
"BM_prop_naive/0/4/0/4096",10000,0.369765,0.0285794,ms,,,,,
"BM_prop_naive/1/4/0/4096",10000,0.371306,0.0288921,ms,,,,,
"BM_prop_naive/2/4/0/4096",10000,0.366879,0.0285137,ms,,,,,
"BM_prop_naive/3/4/0/4096",10000,0.369401,0.0292168,ms,,,,,
"BM_prop_naive/4/4/0/4096",10000,0.36985,0.028094,ms,,,,,
"BM_prop_naive/5/4/0/4096",10000,0.369332,0.0280241,ms,,,,,
"BM_prop_naive/6/4/0/4096",10000,0.369645,0.027887,ms,,,,,
"BM_prop_naive/7/4/0/4096",10000,0.364798,0.0277001,ms,,,,,
"BM_prop_naive/8/4/0/4096",10000,0.370454,0.0280571,ms,,,,,
"BM_prop_naive/0/8/0/4096",10000,0.379009,0.0292971,ms,,,,,
"BM_prop_naive/1/8/0/4096",10000,0.373461,0.0287401,ms,,,,,
"BM_prop_naive/2/8/0/4096",10000,0.37658,0.028497,ms,,,,,
"BM_prop_naive/3/8/0/4096",10000,0.381065,0.0286619,ms,,,,,
"BM_prop_naive/4/8/0/4096",10000,0.372609,0.0284213,ms,,,,,
"BM_prop_naive/5/8/0/4096",10000,0.374844,0.0287967,ms,,,,,
"BM_prop_naive/6/8/0/4096",10000,0.369323,0.0289266,ms,,,,,
"BM_prop_naive/7/8/0/4096",10000,0.377675,0.0282171,ms,,,,,
"BM_prop_naive/8/8/0/4096",10000,0.381105,0.0294225,ms,,,,,
"BM_prop_naive/0/16/0/4096",10000,0.384839,0.0290085,ms,,,,,
"BM_prop_naive/1/16/0/4096",10000,0.377459,0.0284199,ms,,,,,
"BM_prop_naive/2/16/0/4096",10000,0.38428,0.0287555,ms,,,,,
"BM_prop_naive/3/16/0/4096",10000,0.380827,0.0289359,ms,,,,,
"BM_prop_naive/4/16/0/4096",10000,0.399573,0.028566,ms,,,,,
"BM_prop_naive/5/16/0/4096",10000,0.389033,0.028765,ms,,,,,
"BM_prop_naive/6/16/0/4096",10000,0.407418,0.0292534,ms,,,,,
"BM_prop_naive/7/16/0/4096",10000,0.388659,0.0291133,ms,,,,,
"BM_prop_naive/8/16/0/4096",10000,0.387425,0.0289683,ms,,,,,
"BM_prop_naive/0/1/4/4096",58,11.3263,11.3265,ms,,,,,
"BM_prop_naive/1/1/4/4096",325,2.13723,2.13725,ms,,,,,
"BM_prop_naive/2/1/4/4096",15,41.6733,41.6737,ms,,,,,
"BM_prop_naive/3/1/4/4096",156,4.37604,4.37602,ms,,,,,
"BM_prop_naive/4/1/4/4096",35,20.4008,20.401,ms,,,,,
"BM_prop_naive/5/1/4/4096",92,7.64625,7.64622,ms,,,,,
"BM_prop_naive/6/1/4/4096",59,10.891,10.8909,ms,,,,,
"BM_prop_naive/7/1/4/4096",46,15.2452,15.2452,ms,,,,,
"BM_prop_naive/8/1/4/4096",160,4.36229,4.36231,ms,,,,,
"BM_prop_naive/0/2/4/4096",1000,11.5891,0.342898,ms,,,,,
"BM_prop_naive/1/2/4/4096",10000,2.27184,0.0328534,ms,,,,,
"BM_prop_naive/2/2/4/4096",100,42.0977,0.403114,ms,,,,,
"BM_prop_naive/3/2/4/4096",1000,4.61959,0.0497013,ms,,,,,
"BM_prop_naive/4/2/4/4096",1000,20.8268,0.356681,ms,,,,,
"BM_prop_naive/5/2/4/4096",1000,8.35013,0.365325,ms,,,,,
"BM_prop_naive/6/2/4/4096",1000,11.4182,0.351398,ms,,,,,
"BM_prop_naive/7/2/4/4096",1000,16.6874,0.32365,ms,,,,,
"BM_prop_naive/8/2/4/4096",1000,4.74283,0.0348042,ms,,,,,
"BM_prop_naive/0/4/4/4096",1000,11.7648,0.34392,ms,,,,,
"BM_prop_naive/1/4/4/4096",10000,2.28774,0.0329524,ms,,,,,
"BM_prop_naive/2/4/4/4096",100,42.1492,0.352371,ms,,,,,
"BM_prop_naive/3/4/4/4096",1000,4.82653,0.0451307,ms,,,,,
"BM_prop_naive/4/4/4/4096",1000,21.0183,0.355282,ms,,,,,
"BM_prop_naive/5/4/4/4096",1000,8.30507,0.334009,ms,,,,,
"BM_prop_naive/6/4/4/4096",1000,11.3567,0.340806,ms,,,,,
"BM_prop_naive/7/4/4/4096",1000,15.9264,0.334936,ms,,,,,
"BM_prop_naive/8/4/4/4096",1000,4.70421,0.082947,ms,,,,,
"BM_prop_naive/0/8/4/4096",1000,11.5735,0.337909,ms,,,,,
"BM_prop_naive/1/8/4/4096",10000,2.24872,0.0322257,ms,,,,,
"BM_prop_naive/2/8/4/4096",100,42.1793,0.410919,ms,,,,,
"BM_prop_naive/3/8/4/4096",1000,4.99019,0.182403,ms,,,,,
"BM_prop_naive/4/8/4/4096",1000,20.9419,0.338722,ms,,,,,
"BM_prop_naive/5/8/4/4096",1000,8.34311,0.344544,ms,,,,,
"BM_prop_naive/6/8/4/4096",1000,11.3827,0.356868,ms,,,,,
"BM_prop_naive/7/8/4/4096",1000,15.9631,0.353741,ms,,,,,
"BM_prop_naive/8/8/4/4096",1000,4.7394,0.0674332,ms,,,,,
"BM_prop_naive/0/16/4/4096",1000,11.7213,0.311845,ms,,,,,
"BM_prop_naive/1/16/4/4096",10000,2.30773,0.0379174,ms,,,,,
"BM_prop_naive/2/16/4/4096",100,42.1138,0.356452,ms,,,,,
