2022-04-19T20:42:43+03:00
Running /home/dzhiblavi/itmo-parsat/build/core/tests/bench/benchmark
Run on (20 X 5004.18 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x10)
  L1 Instruction 32 KiB (x10)
  L2 Unified 256 KiB (x10)
  L3 Unified 20480 KiB (x1)
Load Average: 5.66, 4.19, 2.07
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_prop_naive/0/1/0/4096",2161,0.315129,0.315125,ms,,,,,
"BM_prop_naive/1/1/0/4096",2201,0.314955,0.31496,ms,,,,,
"BM_prop_naive/2/1/0/4096",2223,0.329092,0.329097,ms,,,,,
"BM_prop_naive/3/1/0/4096",2223,0.31883,0.318832,ms,,,,,
"BM_prop_naive/4/1/0/4096",2224,0.319846,0.319848,ms,,,,,
"BM_prop_naive/5/1/0/4096",2146,0.315742,0.315744,ms,,,,,
"BM_prop_naive/6/1/0/4096",2226,0.315713,0.31571,ms,,,,,
"BM_prop_naive/7/1/0/4096",2064,0.315611,0.315615,ms,,,,,
"BM_prop_naive/8/1/0/4096",2224,0.317379,0.31738,ms,,,,,
"BM_prop_naive/0/2/0/4096",10000,0.366991,0.029313,ms,,,,,
"BM_prop_naive/1/2/0/4096",10000,0.366912,0.0290015,ms,,,,,
"BM_prop_naive/2/2/0/4096",10000,0.366408,0.0295727,ms,,,,,
"BM_prop_naive/3/2/0/4096",10000,0.361954,0.0286666,ms,,,,,
"BM_prop_naive/4/2/0/4096",10000,0.382137,0.0293457,ms,,,,,
"BM_prop_naive/5/2/0/4096",10000,0.366495,0.0289464,ms,,,,,
"BM_prop_naive/6/2/0/4096",10000,0.366041,0.0289639,ms,,,,,
"BM_prop_naive/7/2/0/4096",10000,0.359824,0.0272841,ms,,,,,
"BM_prop_naive/8/2/0/4096",10000,0.363658,0.0277035,ms,,,,,
"BM_prop_naive/0/4/0/4096",10000,0.374477,0.0289564,ms,,,,,
