launch_id,test_group,input_name,config_name,result,dur,finished_at,,,exp_u1m_09.04,exp_u1m_09.04
16713,m21-u1m,sat_Circuit_multiplier22.cnf,32_wop_m1-32_rec_cart_ea.json,TLE,0.00,2022-04-09 13:54:50,89.10416667,32_wop_m1-32_rec_cart_ea.json,709,7
16723,m21-u1m,sat_Circuit_multiplier22.cnf,32_wop_m1-32_rec_cart_ga.json,PASSED,0.00,2022-04-09 14:07:01,52.875,32_wop_m1-32_rec_cart_ga.json,731,6
16693,m21-u1m,sat_Circuit_multiplier22.cnf,32_wop_m1-32_rec_rbs_ea.json,TLE,0.00,2022-04-09 13:32:41,89.10416667,32_wop_m1-32_rec_rbs_ea.json,585,4
16703,m21-u1m,sat_Circuit_multiplier22.cnf,32_wop_m1-32_rec_rbs_ga.json,TLE,0.00,2022-04-09 13:43:01,89.10416667,32_wop_m1-32_rec_rbs_ga.json,620,4
16673,m21-u1m,sat_Circuit_multiplier22.cnf,32_wop_m1-32_sing_cart_ea.json,PASSED,0.00,2022-04-09 13:13:49,36.22916667,32_wop_m1-32_sing_cart_ea.json,538,4
16683,m21-u1m,sat_Circuit_multiplier22.cnf,32_wop_m1-32_sing_cart_ga.json,PASSED,0.00,2022-04-09 13:22:56,44.0625,32_wop_m1-32_sing_cart_ga.json,546,4
16653,m21-u1m,sat_Circuit_multiplier22.cnf,32_wop_m1-32_sing_rbs_ea.json,TLE,0.00,2022-04-09 12:55:24,89.10416667,32_wop_m1-32_sing_rbs_ea.json,583,3
16663,m21-u1m,sat_Circuit_multiplier22.cnf,32_wop_m1-32_sing_rbs_ga.json,TLE,0.00,2022-04-09 13:04:51,89.10416667,32_wop_m1-32_sing_rbs_ga.json,567,5
16793,m21-u1m,sat_Circuit_multiplier22.cnf,32_wop_ms1-31_rec_cart_ea.json,PASSED,0.00,2022-04-09 15:11:38,44.0625,32_wop_ms1-31_rec_cart_ea.json,603,5
16803,m21-u1m,sat_Circuit_multiplier22.cnf,32_wop_ms1-31_rec_cart_ga.json,PASSED,0.00,2022-04-09 15:23:48,77.35416667,32_wop_ms1-31_rec_cart_ga.json,730,5
16773,m21-u1m,sat_Circuit_multiplier22.cnf,32_wop_ms1-31_rec_rbs_ea.json,TLE,0.00,2022-04-09 14:52:51,89.10416667,32_wop_ms1-31_rec_rbs_ea.json,596,5
16783,m21-u1m,sat_Circuit_multiplier22.cnf,32_wop_ms1-31_rec_rbs_ga.json,TLE,0.00,2022-04-09 15:01:35,89.10416667,32_wop_ms1-31_rec_rbs_ga.json,524,3
16753,m21-u1m,sat_Circuit_multiplier22.cnf,32_wop_ms1-31_sing_cart_ea.json,PASSED,0.00,2022-04-09 14:31:32,6.854166667,32_wop_ms1-31_sing_cart_ea.json,532,3
16763,m21-u1m,sat_Circuit_multiplier22.cnf,32_wop_ms1-31_sing_cart_ga.json,TLE,0.00,2022-04-09 14:42:55,89.10416667,32_wop_ms1-31_sing_cart_ga.json,683,6
16733,m21-u1m,sat_Circuit_multiplier22.cnf,32_wop_ms1-31_sing_rbs_ea.json,PASSED,0.00,2022-04-09 14:12:44,15.66666667,32_wop_ms1-31_sing_rbs_ea.json,342,1
16743,m21-u1m,sat_Circuit_multiplier22.cnf,32_wop_ms1-31_sing_rbs_ga.json,TLE,0.00,2022-04-09 14:22:40,89.10416667,32_wop_ms1-31_sing_rbs_ga.json,596,5
